Date,Order ID,Product,City,Discount,Shipping Cost,Sales
01-01-2021,ORD10001,PROD3,Mumbai,0,118,2682
01-01-2021,ORD10002,PROD3,Pune,0,138,2662
03-01-2021,ORD10003,PROD6,Pune,15,140,2410
03-01-2021,ORD10004,PROD6,Surat,0,90,2910
04-01-2021,ORD10005,PROD7,Surat,3,86,2436
05-01-2021,ORD10006,PROD9,Mumbai,20,135,3465
05-01-2021,ORD10007,PROD6,Surat,25,90,2160
05-01-2021,ORD10008,PROD7,Mumbai,0,116,2484
06-01-2021,ORD10009,PROD6,Hyderabad,0,110,2740
06-01-2021,ORD10010,PROD3,Hyderabad,5,108,2402
06-01-2021,ORD10011,PROD6,Mumbai,30,120,1980
07-01-2021,ORD10012,PROD6,Surat,15,90,2460
08-01-2021,ORD10013,PROD8,Hyderabad,5,120,2418.5
08-01-2021,ORD10014,PROD9,Mumbai,0,135,4365
09-01-2021,ORD10015,PROD8,Surat,15,100,2305.5
11-01-2021,ORD10016,PROD1,Pune,25,130,1370
11-01-2021,ORD10017,PROD6,Pune,12,140,2500
11-01-2021,ORD10018,PROD1,Pune,10,130,1670
11-01-2021,ORD10019,PROD2,Pune,20,135,1865
11-01-2021,ORD10020,PROD2,Mumbai,25,115,1760
12-01-2021,ORD10021,PROD6,Hyderabad,0,110,2740
12-01-2021,ORD10022,PROD1,Mumbai,0,110,1890
12-01-2021,ORD10023,PROD8,Surat,0,100,2730
13-01-2021,ORD10024,PROD8,Surat,2,100,2673.4
13-01-2021,ORD10025,PROD9,Surat,3,105,4260
13-01-2021,ORD10026,PROD3,Pune,30,138,1822
13-01-2021,ORD10027,PROD2,Chennai,15,165,1810
14-01-2021,ORD10028,PROD6,Mumbai,15,120,2430
14-01-2021,ORD10029,PROD2,Mumbai,15,115,2010
14-01-2021,ORD10030,PROD8,Surat,0,100,2730
15-01-2021,ORD10031,PROD3,Pune,25,138,1962
15-01-2021,ORD10032,PROD7,Surat,20,86,1994
15-01-2021,ORD10033,PROD6,Pune,15,140,2410
16-01-2021,ORD10034,PROD9,Surat,0,105,4395
16-01-2021,ORD10035,PROD6,Mumbai,0,120,2880
16-01-2021,ORD10036,PROD3,Pune,10,138,2382
17-01-2021,ORD10037,PROD6,Pune,0,140,2860
17-01-2021,ORD10038,PROD1,Mumbai,15,110,1590
17-01-2021,ORD10039,PROD8,Pune,12,150,2340.4
17-01-2021,ORD10040,PROD3,Surat,5,88,2572
17-01-2021,ORD10041,PROD6,Pune,0,140,2860
18-01-2021,ORD10042,PROD1,Surat,15,80,1620
19-01-2021,ORD10043,PROD6,Mumbai,15,120,2430
19-01-2021,ORD10044,PROD7,Pune,20,136,1944
19-01-2021,ORD10045,PROD1,Chennai,0,160,1690
19-01-2021,ORD10046,PROD6,Surat,20,90,2310
20-01-2021,ORD10047,PROD7,Mumbai,0,116,2484
20-01-2021,ORD10048,PROD6,Mumbai,0,120,2880
20-01-2021,ORD10049,PROD3,Surat,0,88,2712
21-01-2021,ORD10050,PROD6,Surat,5,90,2760
21-01-2021,ORD10051,PROD9,Surat,12,105,3855
21-01-2021,ORD10052,PROD9,Pune,0,155,4345
21-01-2021,ORD10053,PROD8,Surat,5,100,2588.5
21-01-2021,ORD10054,PROD3,Mumbai,15,118,2262
21-01-2021,ORD10055,PROD7,Hyderabad,0,106,2344
21-01-2021,ORD10056,PROD8,Hyderabad,15,120,2135.5
22-01-2021,ORD10057,PROD3,Hyderabad,0,108,2542
22-01-2021,ORD10058,PROD6,Hyderabad,3,110,2650
22-01-2021,ORD10059,PROD8,Pune,0,150,2680
22-01-2021,ORD10060,PROD6,Surat,12,90,2550
22-01-2021,ORD10061,PROD6,Surat,12,90,2550
22-01-2021,ORD10062,PROD8,Mumbai,30,130,1851
23-01-2021,ORD10063,PROD6,Pune,15,140,2410
23-01-2021,ORD10064,PROD9,Surat,0,105,4395
23-01-2021,ORD10065,PROD6,Chennai,15,170,2230
24-01-2021,ORD10066,PROD6,Mumbai,15,120,2430
24-01-2021,ORD10067,PROD1,Surat,20,80,1520
24-01-2021,ORD10068,PROD7,Mumbai,20,116,1964
25-01-2021,ORD10069,PROD6,Mumbai,10,120,2580
25-01-2021,ORD10070,PROD6,Surat,25,90,2160
25-01-2021,ORD10071,PROD6,Chennai,25,170,1930
26-01-2021,ORD10072,PROD8,Surat,15,100,2305.5
26-01-2021,ORD10073,PROD3,Pune,15,138,2242
26-01-2021,ORD10074,PROD8,Surat,0,100,2730
27-01-2021,ORD10075,PROD3,Mumbai,0,118,2682
27-01-2021,ORD10076,PROD1,Pune,15,130,1570
27-01-2021,ORD10077,PROD7,Chennai,0,166,2284
28-01-2021,ORD10078,PROD7,Surat,5,86,2384
28-01-2021,ORD10079,PROD6,Surat,0,90,2910
28-01-2021,ORD10080,PROD5,Surat,0,82,2118
28-01-2021,ORD10081,PROD1,Surat,20,80,1520
28-01-2021,ORD10082,PROD7,Pune,0,136,2464
29-01-2021,ORD10083,PROD3,Pune,0,138,2662
30-01-2021,ORD10084,PROD6,Hyderabad,0,110,2740
30-01-2021,ORD10085,PROD6,Mumbai,15,120,2430
30-01-2021,ORD10086,PROD7,Surat,0,86,2514
01-02-2021,ORD10087,PROD9,Surat,0,105,4395
02-02-2021,ORD10088,PROD3,Mumbai,0,118,2682
02-02-2021,ORD10089,PROD6,Pune,12,140,2500
04-02-2021,ORD10090,PROD3,Pune,0,138,2662
04-02-2021,ORD10091,PROD8,Mumbai,20,130,2134
04-02-2021,ORD10092,PROD6,Pune,30,140,1960
04-02-2021,ORD10093,PROD1,Pune,0,130,1870
04-02-2021,ORD10094,PROD1,Mumbai,30,110,1290
04-02-2021,ORD10095,PROD6,Pune,15,140,2410
04-02-2021,ORD10096,PROD6,Hyderabad,20,110,2140
05-02-2021,ORD10097,PROD3,Surat,15,88,2292
05-02-2021,ORD10098,PROD6,Pune,25,140,2110
05-02-2021,ORD10099,PROD7,Surat,0,86,2514
05-02-2021,ORD10100,PROD7,Surat,0,86,2514
06-02-2021,ORD10101,PROD9,Surat,0,105,4395
06-02-2021,ORD10102,PROD6,Surat,10,90,2610
06-02-2021,ORD10103,PROD6,Pune,0,140,2860
06-02-2021,ORD10104,PROD6,Surat,0,90,2910
07-02-2021,ORD10105,PROD6,Surat,0,90,2910
07-02-2021,ORD10106,PROD8,Surat,10,100,2447
07-02-2021,ORD10107,PROD6,Pune,0,140,2860
08-02-2021,ORD10108,PROD6,Chennai,20,170,2080
09-02-2021,ORD10109,PROD9,Surat,5,105,4170
09-02-2021,ORD10110,PROD6,Surat,0,90,2910
09-02-2021,ORD10111,PROD8,Pune,0,150,2680
09-02-2021,ORD10112,PROD1,Mumbai,0,110,1890
09-02-2021,ORD10113,PROD9,Pune,0,155,4345
09-02-2021,ORD10114,PROD3,Surat,0,88,2712
10-02-2021,ORD10115,PROD6,Surat,0,90,2910
10-02-2021,ORD10116,PROD6,Hyderabad,10,110,2440
12-02-2021,ORD10117,PROD8,Pune,3,150,2595.1
13-02-2021,ORD10118,PROD7,Mumbai,0,116,2484
13-02-2021,ORD10119,PROD7,Pune,0,136,2464
13-02-2021,ORD10120,PROD6,Mumbai,0,120,2880
14-02-2021,ORD10121,PROD7,Surat,15,86,2124
14-02-2021,ORD10122,PROD7,Surat,12,86,2202
14-02-2021,ORD10123,PROD6,Pune,10,140,2560
14-02-2021,ORD10124,PROD3,Surat,10,88,2432
14-02-2021,ORD10125,PROD6,Hyderabad,15,110,2290
14-02-2021,ORD10126,PROD8,Mumbai,12,130,2360.4
14-02-2021,ORD10127,PROD2,Pune,0,135,2365
14-02-2021,ORD10128,PROD3,Mumbai,0,118,2682
14-02-2021,ORD10129,PROD3,Mumbai,0,118,2682
15-02-2021,ORD10130,PROD6,Surat,0,90,2910
15-02-2021,ORD10131,PROD6,Mumbai,0,120,2880
15-02-2021,ORD10132,PROD7,Surat,0,86,2514
